Club Name,Insta Handle,Mail
Coding Club,https://www.instagram.com/ssn_codingclub/,codingclub@ssn.edu.in
Lakshya,https://www.instagram.com/ssnlakshya/,lakshya@ssn.edu.in
IEEECS,https://www.instagram.com/ieeecs_ssn/,ieeecs-ssn@ssn.edu.in
IEEE WIE,https://www.instagram.com/ssn_ieee_wie/,ssnieeewie@ssn.edu.in
Music Club,https://www.instagram.com/ssnmusicclub/,ssnmusiclub@ssn.edu.in
ACM-W,https://www.instagram.com/acmw__ssn/,acm-w@ssn.edu.in
ELC,https://www.instagram.com/elcmusings/,ssnelc@ssn.edu.in
ACM,https://www.instagram.com/ssn_acm/,ssnacm@ssn.edu.in
Build Club,https://www.instagram.com/buildclubssn/,buildclub@ssn.edu.in
Sportium,https://www.instagram.com/sportium_ssn/,sportium@ssn.edu.in
SAE,https://www.instagram.com/ssn_sae/,saeclub@ssn.edu.in
IEEE Vehicle Technology Society,https://www.instagram.com/ieee_vts_ssn/,ssnieeevts@ssn.edu.in
SSN Gaming Club,https://www.instagram.com/ssn_gaming_club/,sgc@ssn.edu.in
Q Factorial,https://www.instagram.com/qfactorialthessnquizclub/,qfactorial@ssn.edu.in
SSN Film Club,https://www.instagram.com/ssn_film_club/,filmclub@ssn.edu.in
IEEE PELS,https://www.instagram.com/ssn_ieee_pels/,ieeepels@ssn.edu.in
IEEE PES,https://www.instagram.com/ssn_ieee_pes/,ieeepes@ssn.edu.in
GFG Campus Body,https://www.instagram.com/geeksforgeeks_ssn/,gfgcampusbody@ssn.edu.in
IEEE SPS ,https://www.instagram.com/ieee_sps_ssn/,ieeespssb@ssn.edu.in
Saaral Tamizh Mandram,https://www.instagram.com/saaral_tamizh_mandram/,saaraltamilmandram@ssn.edu.in
